ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,week_52_low,week_52_high,dividend_yield,avg_volume_3mon,dvav
AUNA,AUNA,AUNA,AUNA,NASDAQ,6.320000171661377,6.320000171661377,6.449999809265137,6.32 - 6.45,7796,7796,-1.095456905896894,2025-10-17 17:48:29.411511+00:00,2025-10-17 17:48:29.411512+00:00,,,,,
AUPH,AUPH,AUPH,AUPH,NASDAQ,11.574999809265137,11.302900314331055,11.65999984741211,11.30 - 11.66,497022,497022,0.21644691010765127,2025-10-17 17:48:29.412340+00:00,2025-10-17 17:48:29.412341+00:00,,,,,
AURA,AURA,AURA,AURA,NASDAQ,5.783599853515625,5.679999828338623,6.195000171661377,5.68 - 6.20,320251,320251,-6.565431340033346,2025-10-17 17:48:29.413152+00:00,2025-10-17 17:48:29.413153+00:00,,,,,
AUSF,AUSF,AUSF,AUSF,NASDAQ,45.15520095825195,45.04999923706055,45.349998474121094,45.05 - 45.35,31585,31585,0.1890420767797759,2025-10-17 17:48:29.414736+00:00,2025-10-17 17:48:29.414737+00:00,,,,,
AUST,AUST,AUST,AUST,NASDAQ,2.369999885559082,2.3559999465942383,2.7730000019073486,2.36 - 2.77,198668,198668,-12.867652182708921,2025-10-17 17:48:29.420471+00:00,2025-10-17 17:48:29.420472+00:00,,,,,
AUTL,AUTL,AUTL,AUTL,NASDAQ,1.590999960899353,1.5800000429153442,1.672700047492981,1.58 - 1.67,1577544,1577544,-5.297618418289941,2025-10-17 17:48:29.421232+00:00,2025-10-17 17:48:29.421233+00:00,,,,,
AUUD,AUUD,AUUD,AUUD,NASDAQ,1.7400000095367432,1.600000023841858,1.8899999856948853,1.60 - 1.89,755605,755605,-15.942025813937445,2025-10-17 17:48:29.421962+00:00,2025-10-17 17:48:29.421963+00:00,,,,,
AVA,AVA,AVA,AVA,NASDAQ,38.279998779296875,38.22999954223633,38.5,38.23 - 38.50,132936,132936,-0.28653454571615156,2025-10-17 17:48:29.422788+00:00,2025-10-17 17:48:29.422789+00:00,,,,,
AVAH,AVAH,AVAH,AVAH,NASDAQ,10.0649995803833,9.8100004196167,10.069999694824219,9.81 - 10.07,723430,723430,0.7507488586933383,2025-10-17 17:48:29.423536+00:00,2025-10-17 17:48:29.423537+00:00,,,,,
AVAL,AVAL,AVAL,AVAL,NASDAQ,3.8299999237060547,3.690000057220459,3.8299999237060547,3.69 - 3.83,19699,19699,3.5135101174855863,2025-10-17 17:48:29.424257+00:00,2025-10-17 17:48:29.424258+00:00,,,,,
AVAV,AVAV,AVAV,AVAV,NASDAQ,353.8299865722656,349.090087890625,368.7300109863281,349.09 - 368.73,965579,965579,-5.418342475418504,2025-10-17 17:48:29.424961+00:00,2025-10-17 17:48:29.424962+00:00,,,,,
AVB,AVB,AVB,AVB,NASDAQ,186.2100067138672,184.3800048828125,186.97999572753906,184.38 - 186.98,371310,371310,0.9487151340694601,2025-10-17 17:48:29.425653+00:00,2025-10-17 17:48:29.425654+00:00,,,,,
